location-name,word,state,lat,lon,count
Loxton,bathers,SA,-34.4503873,140.5702742,1
Lyndoch,bathers,SA,-34.6011553,138.8908171,1
Mackay,togs,QLD,-21.1412101,149.1856253,1
Maitland,bathers,SA,-34.374162,137.6732468,1
Manangatang,bathers,VIC,-35.0528809,142.8828383,1
Mannum,bathers,SA,-34.9143809,139.3115815,2
Melbourne,bathers,VIC,-37.814107,144.96328,1
Melbourne,togs,VIC,-37.814107,144.96328,1
Meningie,bathers,SA,-35.6865288,139.3386833,4
Merbein,bathers,VIC,-34.1679203,142.0603257,1
Merbein,togs,VIC,-34.1679203,142.0603257,1
Merimbula,swimmers,NSW,-36.8880112,149.9063277,1
Millicent,bathers,SA,-37.5949432,140.3536982,4
Minlaton,bathers,SA,-34.7698951,137.595917,1
Minlaton,togs,SA,-34.7698951,137.595917,1
Miram,togs,VIC,-36.352672,141.3483244,1
Moe,bathers,VIC,-38.1747552,146.2626215,1
Moe,togs,VIC,-38.1747552,146.2626215,1
Moonta,bathers,SA,-34.0686198,137.5918907,5
Morgan,bathers,SA,-34.0350657,139.6720121,2
Mount Barker,bathers,WA,-34.6277701,117.6620689,1
Mount Gambier,bathers,SA,-37.8279225,140.7752527,5
Mulbring,swimmers,NSW,-32.9028391,151.4823762,1
Mullumbimby,swimmers,NSW,-28.5533847,153.4995821,1
Mulwala,togs,NSW,-35.987951,146.006691,1
Murray Bridge,bathers,SA,-35.1197018,139.2747261,2
Murrayville,bathers,VIC,-35.2623822,141.1833422,2
Murrayville,togs,VIC,-35.2623822,141.1833422,1
Naracoorte,bathers,SA,-36.9550218,140.7430918,4
Narooma,swimmers,NSW,-36.2182385,150.1323002,2
Narrabri,swimmers,NSW,-30.3250572,149.7829808,1
Narrandera,cozzie(s),NSW,-34.7479014,146.5503637,1
Narrandera,swimmers,NSW,-34.7479014,146.5503637,2
Nhill,bathers,VIC,-36.332472,141.6494937,1
Nhill,togs,VIC,-36.332472,141.6494937,1
Nimmitabel,swimmers,NSW,-36.5123017,149.2843954,1
Nowra,cozzie(s),NSW,-34.8746265,150.6029082,1
Nowra,swimmers,NSW,-34.8746265,150.6029082,1
Nuriootpa,bathers,SA,-34.4722763,138.9963035,2
Orbost,bathers,VIC,-37.7071796,148.4549611,1
Ouyen,bathers,VIC,-35.0706191,142.3149438,3
Ouyen,togs,VIC,-35.0706191,142.3149438,1
Pambula,swimmers,NSW,-36.9295659,149.8745515,1
Parkes,swimmers,NSW,-33.1378642,148.1748388,2
Parrakie,bathers,SA,-35.3777343,140.2535608,1
Penola,bathers,SA,-37.3789874,140.8407186,8
Perth,bathers,WA,-31.9530044,115.8574693,4
Pinnaroo,bathers,SA,-35.2604045,140.9084344,5
Port Elliott,bathers,SA,-35.5303762,138.6810342,1
Port Lincoln,bathers,SA,-34.7195321,135.8574623,2
Port Pirie,bathers,SA,-33.1770846,138.0100573,1
Portland,bathers,VIC,-38.3463453,141.6042096,4
Portland,togs,VIC,-38.3463453,141.6042096,2
Quandialla,swimmers,NSW,-34.0095525,147.7924726,1
Queanbeyan,bathers,NSW,-35.3549,149.2312095,1
Queanbeyan,togs,NSW,-35.3549,149.2312095,1
Quirindi,swimmers,NSW,-31.5077986,150.680106,1
Rainbow,bathers,VIC,-35.900201,141.9971939,1
Rankins Springs,swimmers,NSW,-33.8415907,146.2618337,1
Rankins Springs,togs,NSW,-33.8415907,146.2618337,1
Red Cliffs,bathers,VIC,-34.3064842,142.1865208,1
Redbank Plains,togs,QLD,-27.64667,152.8691863,1
Renmark,bathers,SA,-34.1705702,140.7501095,3
Robe,bathers,SA,-37.1624856,139.7548923,2
Robinvale,bathers,VIC,-34.5843257,142.772128,2
Robinvale,togs,VIC,-34.5843257,142.772128,1
Rochester,bathers,VIC,-36.3618733,144.6993954,2
Rockhampton,swimmers,QLD,-23.3779152,150.5101026,1
Rockhampton,togs,QLD,-23.3779152,150.5101026,1
Sea Lake,bathers,VIC,-35.5041726,142.8501194,2
Sheffield,bathers,TAS,-41.3821709,146.3247692,1
Stansbury,bathers,SA,-34.9089736,137.7971686,2
Strathalbyn,bathers,SA,-35.258875,138.8903478,2
Swan Hill,bathers,VIC,-35.3405225,143.5614347,3
Swan Hill,togs,VIC,-35.3405225,143.5614347,1
Sydney,cozzie(s),NSW,-33.8674869,151.2069902,4
Sydney,swimmers,NSW,-33.8674869,151.2069902,7
Sydney,togs,NSW,-33.8674869,151.2069902,1
Tabbita,swimmers,NSW,-34.1037422,145.8457925,1
Tailem Bend,bathers,SA,-35.2539454,139.4538816,2
Tallangatta,togs,VIC,-36.2166539,147.1781512,1
Tamworth,swimmers,NSW,-31.1063157,150.9307341,1
Tantanoola,bathers,SA,-37.6960541,140.4559198,3
Taree,cozzie(s),NSW,-31.9115673,152.460695,1
Tathra,bathers,NSW,-36.7286521,149.9870491,1
Tathra,swimmers,NSW,-36.7286521,149.9870491,1
Tatura,bathers,VIC,-36.4401084,145.2287634,1
Temora,swimmers,NSW,-34.4469495,147.5337637,1
Temora,togs,NSW,-34.4469495,147.5337637,1
The Rock,swimmers,NSW,-35.2685446,147.1147194,1
The Rock,togs,NSW,-35.2685446,147.1147194,1
Thirlmere,cozzie(s),NSW,-34.2039629,150.5707408,1
Thirlmere,swimmers,NSW,-34.2039629,150.5707408,1
Toowoomba,togs,QLD,-27.56433,151.9539874,2
Tullibigeal,cozzie(s),NSW,-33.4212018,146.7274614,1
Tumbarumba,swimmers,NSW,-35.7772429,148.0113753,2
Tumut,cozzie(s),NSW,-35.3010668,148.2239419,1
Tumut,swimmers,NSW,-35.3010668,148.2239419,1
Tyrendarra,bathers,VIC,-38.2184054,141.7811414,1
Uarbry,togs,NSW,-32.0472601,149.7647298,1
Underbool,bathers,VIC,-35.1696523,141.8076162,1
Underbool,togs,VIC,-35.1696523,141.8076162,1
Ungarie,swimmers,NSW,-33.637948,146.9702852,1
Victor Harbour,bathers,SA,-35.5532268,138.6229492,3
Wagga Wagga,bathers,NSW,-35.1250948,147.349649,2
Wagga Wagga,cozzie(s),NSW,-35.1250948,147.349649,1
Walla Walla,togs,NSW,-35.7625701,146.9016474,1
Wallaroo,bathers,SA,-33.931984,137.6284649,5
Warooka,bathers,SA,-34.9905757,137.4010283,1
Warwick,togs,QLD,-28.2143733,152.0351449,2
Weethalle,swimmers,NSW,-33.875718,146.6196632,1
Weethalle,togs,NSW,-33.875718,146.6196632,1
Wellington,swimmers,NSW,-32.5556186,148.9427754,1
Wentworth,bathers,NSW,-34.1064847,141.9221664,3
Werris Creek,cozzie(s),NSW,-31.3490857,150.6471759,1
West Wyalong,cozzie(s),NSW,-33.9235028,147.2052839,1
West Wyalong,swimmers,NSW,-33.9235028,147.2052839,2
Wodonga,togs,VIC,-36.122487,146.8878851,1
Wollongong,cozzie(s),NSW,-34.4250728,150.8931494,2
Wollongong,swimmers,NSW,-34.4250728,150.8931494,1
Yass,cozzie(s),NSW,-34.8424907,148.9116111,4
Yenda,swimmers,NSW,-34.2501802,146.1985376,1
