location-name,word,state,lat,lon,count
Lismore ,scallop,NSW,-28.8279803,153.2857165,3
Lithgow,scallop,NSW,-33.4809335,150.1574085,2
Lyndoch,potato fritter,SA,-34.601155299999995,138.8908171,1
Mackay,potato scallop,QLD,-21.141210100000002,149.1856253,1
Maitland,potato fritter,SA,-34.374162,137.67324680000002,1
Maitland,scallop,SA,-34.374162,137.67324680000002,1
Manangatang,potato cake,VIC,-35.0528809,142.8828383,1
Manangatang,potato fritter,VIC,-35.0528809,142.8828383,1
Mannum,potato cake,SA,-34.9143809,139.3115815,1
Melbourne,potato cake,VIC,-37.814107,144.96328,3
Meningie,potato fritter,SA,-35.68652879999999,139.3386833,2
Merimbula,potato cake,NSW,-36.8880112,149.90632769999996,1
Merimbula,potato scallop,NSW,-36.8880112,149.90632769999996,1
Mildura,potato cake,VIC,-34.2063006,142.1358321,2
Millicent,potato cake,SA,-37.5949432,140.3536982,3
Mintaro,potato cake,SA,-33.9168,138.7239185,1
Miram,potato cake,VIC,-36.352672,141.3483244,1
Moe,potato cake,VIC,-38.1747552,146.2626215,3
Molong,potato scallop,NSW,-33.0922899,148.8712315,1
Moonta,potato fritter,SA,-34.0686198,137.5918907,4
Morgan,potato fritter,SA,-34.035065700000004,139.67201210000002,1
Moruya,potato scallop,NSW,-35.909318799999994,150.082377,1
Mount Gambier,potato cake,SA,-37.8279225,140.77525269999998,5
Mullumbimby,scallop,NSW,-28.553384700000002,153.4995821,1
Mulwala,potato cake,NSW,-35.987951,146.006691,1
Murray Bridge,potato cake,SA,-35.1197018,139.27472609999998,2
Murrayville,potato cake,VIC,-35.262382200000005,141.18334219999997,4
Myrtleford,potato cake,VIC,-36.5616777,146.7260119,1
Naracoorte,potato cake,SA,-36.9550218,140.7430918,4
Narooma,potato scallop,NSW,-36.2182385,150.13230019999997,2
Narrabri,scallop,NSW,-30.3250572,149.78298080000002,1
Narrandera,potato scallop,NSW,-34.747901399999996,146.5503637,2
Narrandera,scallop,NSW,-34.747901399999996,146.5503637,1
Nhill,potato cake,VIC,-36.332471999999996,141.6494937,1
Nimmitabel,scallop,NSW,-36.5123017,149.28439540000002,1
Norwell,scallop,QLD,-27.786766399999998,153.3150421,1
Nowra,potato scallop,NSW,-34.8746265,150.6029082,1
Nowra,scallop,NSW,-34.8746265,150.6029082,1
Nuriootpa,potato fritter,SA,-34.4722763,138.99630349999998,3
Oberon,scallop,NSW,-33.704174,149.8574075,1
Orbost,potato cake,VIC,-37.7071796,148.4549611,1
Ouyen,potato cake,VIC,-35.0706191,142.3149438,4
Pambula,potato cake,NSW,-36.9295659,149.8745515,1
Parkes,scallop,NSW,-33.1378642,148.1748388,3
Penola,potato cake,SA,-37.3789874,140.8407186,4
Penshurst,potato cake,VIC,-37.875145399999994,142.2908847,1
Perth,potato cake,WA,-31.9530044,115.85746929999999,2
Pinnaroo,potato cake,SA,-35.2604045,140.9084344,1
Pinnaroo,potato fritter,SA,-35.2604045,140.9084344,1
Port Lincoln,potato cake,SA,-34.7195321,135.8574623,2
Port Pirie,potato fritter,SA,-33.1770846,138.0100573,1
Portland,potato cake,VIC,-38.346345299999996,141.6042096,6
Queanbeyan,scallop,NSW,-35.3549,149.2312095,2
Quirindi,scallop,NSW,-31.507798600000005,150.680106,1
Rainbow,potato cake,VIC,-35.900201,141.9971939,1
Rankins Springs,potato scallop,NSW,-33.8415907,146.26183369999998,1
Red Cliffs,potato cake,VIC,-34.3064842,142.1865208,1
Redbank Plains,scallop,QLD,-27.64667,152.86918630000002,1
Renmark,potato cake,SA,-34.17057020000001,140.7501095,2
Robe,potato cake,SA,-37.162485600000004,139.75489230000002,2
Robinvale,potato cake,VIC,-34.5843257,142.772128,4
Rochester,potato cake,VIC,-36.36187329999999,144.69939540000001,3
Rockhampton,potato cake,QLD,-23.3779152,150.51010259999998,1
Rockhampton,scallop,QLD,-23.3779152,150.51010259999998,1
Sea Lake,potato cake,VIC,-35.504172600000004,142.8501194,2
Sheffield,potato cake,TAS,-41.3821709,146.3247692,2
Strathalbyn,potato cake,SA,-35.258875,138.8903478,1
Strathalbyn,potato fritter,SA,-35.258875,138.8903478,1
Swan Hill,potato cake,VIC,-35.3405225,143.56143469999998,1
Sydney,potato scallop,NSW,-33.8674869,151.20699019999998,4
Sydney,scallop,NSW,-33.8674869,151.20699019999998,11
Tabbita,potato fritter,NSW,-34.1037422,145.84579250000002,1
Tallangatta,potato cake,VIC,-36.2166539,147.17815119999997,1
Tamworth,scallop,NSW,-31.1063157,150.9307341,1
Tantanoola,potato cake,SA,-37.696054100000005,140.4559198,1
Taree,scallop,NSW,-31.9115673,152.460695,1
Tathra,potato cake,NSW,-36.7286521,149.98704909999998,1
Tathra,potato scallop,NSW,-36.7286521,149.98704909999998,1
Temora,scallop,NSW,-34.4469495,147.53376369999998,2
The Rock,potato scallop,NSW,-35.2685446,147.1147194,2
Thirlmere,scallop,NSW,-34.20396289999999,150.5707408,2
Tooleybuc,potato cake,NSW,-35.0296911,143.3364672,1
Toowoomba,potato scallop,QLD,-27.564329999999998,151.95398740000002,2
Tullibigeal,potato scallop,NSW,-33.4212018,146.7274614,1
Tumbarumba,potato scallop,NSW,-35.7772429,148.0113753,1
Tumbarumba,scallop,NSW,-35.7772429,148.0113753,1
Tumut,scallop,NSW,-35.301066799999994,148.2239419,1
Tyrendarra,potato cake,VIC,-38.2184054,141.78114140000002,1
Uarbry,scallop,NSW,-32.0472601,149.76472980000003,1
Underbool,potato cake,VIC,-35.169652299999996,141.80761619999998,2
Victor Harbour,potato cake,SA,-35.5532268,138.6229492,1
Victor Harbour,potato fritter,SA,-35.5532268,138.6229492,1
Wagga Wagga,potato scallop,NSW,-35.1250948,147.349649,2
Wagga Wagga,scallop,NSW,-35.1250948,147.349649,1
Walla Walla,potato cake,NSW,-35.7625701,146.90164740000003,1
Wallaroo,potato cake,SA,-33.931984,137.6284649,3
Wallaroo,potato fritter,SA,-33.931984,137.6284649,1
Warooka,potato cake,SA,-34.9905757,137.4010283,1
Warwick,potato scallop,QLD,-28.214373300000002,152.0351449,1
Weering,potato cake,VIC,-38.0908331,143.6944685,1
Weethalle,potato scallop,NSW,-33.875718,146.6196632,1
Weethalle,scallop,NSW,-33.875718,146.6196632,1
Wellington,scallop,NSW,-32.555618599999995,148.9427754,1
Wentworth,potato cake,NSW,-34.1064847,141.9221664,3
Werris Creek,scallop,NSW,-31.349085700000003,150.6471759,1
West Wyalong,potato scallop,NSW,-33.9235028,147.2052839,1
West Wyalong,scallop,NSW,-33.9235028,147.2052839,2
Wodonga,potato cake,VIC,-36.122487,146.8878851,2
Wollongong,scallop,NSW,-34.425072799999995,150.8931494,2
Yass,scallop,NSW,-34.8424907,148.91161110000002,1
Yenda,potato scallop,NSW,-34.2501802,146.19853759999998,1
