location-name,word,state,lat,lon,location-code,code,count
Holbrook,slippery slide,NSW,-35.7268382,147.31163600000002,1,1,1
Hopetoun,slide,VIC,-35.7277152,142.3635906,2,2,2
Huskisson,slippery dip,NSW,-35.0388078,150.67075269999998,1,1,1
Ipswich,slippery slide,QLD,-27.6140934,152.7584716,2,2,2
Ivanhoe,slippery dip,NSW,-32.8997751,144.3004456,1,1,1
Jeparit,slide,VIC,-36.140915899999996,141.9888636,2,2,2
Jerilderie,slippery slide,NSW,-35.3567745,145.73094419999998,1,1,1
Jindabyne,slippery dip,NSW,-36.41479,148.6110247,1,1,1
Junee,slippery dip,NSW,-34.8703676,147.5848314,4,4,4
Kadina,slippery dip,SA,-33.9635146,137.71424219999997,4,4,4
Kangaroo Valley,slippery dip,NSW,-34.7341224,150.52587649999998,1,1,1
Keith,slippery dip,SA,-36.098124,140.3536136,2,2,2
Kilmore,slide,VIC,-37.2928685,144.95125819999998,1,1,1
Kingston,slippery dip,SA,-36.8299148,139.85277969999999,2,2,2
Kingston,slippery slide,SA,-36.8299148,139.85277969999999,1,1,1
Kingston-on-Murray,slippery dip,SA,-34.223417700000006,140.3473068,1,1,1
Kybybolite,slippery dip,SA,-36.871444399999994,140.9238129,1,1,1
Lake Cargelligo,slippery dip,NSW,-33.2983593,146.3739716,2,2,2
Lakes Entrance,slide,VIC,-37.8795844,147.99160469999998,1,1,1
Lameroo,slippery dip,SA,-35.328886700000005,140.5195645,5,5,5
Leeton,slippery dip,NSW,-34.551393299999994,146.4066521,1,1,1
Lismore ,slippery dip,NSW,-28.8279803,153.2857165,2,2,2
Lithgow,slippery dip,NSW,-33.4809335,150.1574085,2,2,2
Loxton,slippery dip,SA,-34.450387299999996,140.57027419999997,1,1,1
Lyndoch,slippery dip,SA,-34.601155299999995,138.8908171,2,2,2
Mackay,slippery slide,QLD,-21.141210100000002,149.1856253,1,1,1
Maitland,slippery dip,SA,-34.374162,137.67324680000002,2,2,2
Manangatang,slide,VIC,-35.0528809,142.8828383,4,4,4
Mannum,slippery dip,SA,-34.9143809,139.3115815,2,2,2
Melbourne,slide,VIC,-37.814107,144.96328,3,3,3
Melbourne,slippery dip,VIC,-37.814107,144.96328,1,1,1
Meningie,slippery dip,SA,-35.68652879999999,139.3386833,4,4,4
Merimbula,slippery dip,NSW,-36.8880112,149.90632769999996,1,1,1
Mildura,slide,VIC,-34.2063006,142.1358321,2,2,2
Millicent,slide,SA,-37.5949432,140.3536982,1,1,1
Millicent,slippery dip,SA,-37.5949432,140.3536982,3,3,3
Millicent,slippery slide,SA,-37.5949432,140.3536982,1,1,1
Minlaton,slippery dip,SA,-34.7698951,137.595917,2,2,2
Mintaro,slippery dip,SA,-33.9168,138.7239185,1,1,1
Miram,slide,VIC,-36.352672,141.3483244,1,1,1
Moe,slide,VIC,-38.1747552,146.2626215,3,3,3
Molong,slippery dip,NSW,-33.0922899,148.8712315,1,1,1
Moonta,slippery dip,SA,-34.0686198,137.5918907,5,5,5
Morgan,slippery dip,SA,-34.035065700000004,139.67201210000002,3,3,3
Moruya,slippery dip,NSW,-35.909318799999994,150.082377,1,1,1
Mount Barker,slide,WA,-34.6277701,117.66206890000001,1,1,1
Mount Gambier,slide,SA,-37.8279225,140.77525269999998,1,1,1
Mount Gambier,slippery dip,SA,-37.8279225,140.77525269999998,4,4,4
Mount Gambier,slippery slide,SA,-37.8279225,140.77525269999998,1,1,1
Mulbring,slippery dip,NSW,-32.9028391,151.48237619999998,1,1,1
Mullumbimby,slippery dip,NSW,-28.553384700000002,153.4995821,1,1,1
Mulwala,slippery slide,NSW,-35.987951,146.006691,1,1,1
Murray Bridge,slippery dip,SA,-35.1197018,139.27472609999998,2,2,2
Murrayville,slide,VIC,-35.262382200000005,141.18334219999997,4,4,4
Myrtleford,slide,VIC,-36.5616777,146.7260119,1,1,1
Naracoorte,slippery dip,SA,-36.9550218,140.7430918,4,4,4
Narooma,slippery dip,NSW,-36.2182385,150.13230019999997,2,2,2
Narrabri,slippery dip,NSW,-30.3250572,149.78298080000002,1,1,1
Narrandera,slippery dip,NSW,-34.747901399999996,146.5503637,4,4,4
Narrandera,slippery slide,NSW,-34.747901399999996,146.5503637,1,1,1
Nhill,slide,VIC,-36.332471999999996,141.6494937,1,1,1
Nimmitabel,slippery dip,NSW,-36.5123017,149.28439540000002,1,1,1
Norwell,slippery slide,QLD,-27.786766399999998,153.3150421,1,1,1
Nowra,slippery dip,NSW,-34.8746265,150.6029082,2,2,2
Nullawil,slide,VIC,-35.8527061,143.17686909999998,1,1,1
Nuriootpa,slippery dip,SA,-34.4722763,138.99630349999998,3,3,3
Nuriootpa,slippery slide,SA,-34.4722763,138.99630349999998,1,1,1
Omeo,slide,VIC,-37.099466799999995,147.5933185,1,1,1
Orbost,slide,VIC,-37.7071796,148.4549611,1,1,1
Ouyen,slide,VIC,-35.0706191,142.3149438,5,5,5
Pambula,slide,NSW,-36.9295659,149.8745515,1,1,1
Parkes,slippery dip,NSW,-33.1378642,148.1748388,3,3,3
Parrakie,slippery dip,SA,-35.3777343,140.2535608,1,1,1
Penola,slippery dip,SA,-37.3789874,140.8407186,7,7,7
Penshurst,slide,VIC,-37.875145399999994,142.2908847,1,1,1
Perth,slide,WA,-31.9530044,115.85746929999999,4,4,4
Pinnaroo,slippery dip,SA,-35.2604045,140.9084344,5,5,5
Port Elliott,slippery dip,SA,-35.530376200000006,138.6810342,1,1,1
Port Lincoln,slippery dip,SA,-34.7195321,135.8574623,2,2,2
Port Pirie,slippery dip,SA,-33.1770846,138.0100573,1,1,1
Portland,slide,VIC,-38.346345299999996,141.6042096,6,6,6
Quandialla,slippery dip,NSW,-34.009552500000005,147.7924726,1,1,1
Queanbeyan,slippery dip,NSW,-35.3549,149.2312095,2,2,2
Quirindi,slippery dip,NSW,-31.507798600000005,150.680106,1,1,1
Rainbow,slide,VIC,-35.900201,141.9971939,1,1,1
Rankins Springs,slippery dip,NSW,-33.8415907,146.26183369999998,2,2,2
Red Cliffs,slide,VIC,-34.3064842,142.1865208,1,1,1
Redbank Plains,slippery slide,QLD,-27.64667,152.86918630000002,1,1,1
Renmark,slippery dip,SA,-34.17057020000001,140.7501095,3,3,3
