location-name,word,state,lat,lon,count
Melbourne,dust bin,VIC,-37.814107,144.96328,3
Melbourne,garbage bin,VIC,-37.814107,144.96328,1
Meningie,rubbish bin,SA,-35.6865288,139.3386833,3
Merimbula,garbage bin,NSW,-36.8880112,149.9063277,2
Mildura,garbage bin,VIC,-34.2063006,142.1358321,1
Mildura,rubbish bin,VIC,-34.2063006,142.1358321,1
Millicent,rubbish bin,SA,-37.5949432,140.3536982,4
Mintaro,rubbish bin,SA,-33.9168,138.7239185,1
Moe,rubbish bin,VIC,-38.1747552,146.2626215,3
Molong,garbage bin,NSW,-33.0922899,148.8712315,1
Moonta,garbage bin,SA,-34.0686198,137.5918907,1
Moonta,rubbish bin,SA,-34.0686198,137.5918907,4
Morgan,rubbish bin,SA,-34.0350657,139.6720121,2
Moruya,dust bin,NSW,-35.9093188,150.082377,1
Mount Barker,rubbish bin,WA,-34.6277701,117.6620689,1
Mount Gambier,rubbish bin,SA,-37.8279225,140.7752527,4
Mulbring,garbage bin,NSW,-32.9028391,151.4823762,1
Mullumbimby,garbage bin,NSW,-28.5533847,153.4995821,1
Mulwala,rubbish bin,NSW,-35.987951,146.006691,1
Murray Bridge,garbage bin,SA,-35.1197018,139.2747261,1
Murray Bridge,rubbish bin,SA,-35.1197018,139.2747261,1
Murrayville,garbage bin,VIC,-35.2623822,141.1833422,1
Murrayville,rubbish bin,VIC,-35.2623822,141.1833422,3
Naracoorte,rubbish bin,SA,-36.9550218,140.7430918,3
Narooma,garbage bin,NSW,-36.2182385,150.1323002,2
Narrabri,garbage bin,NSW,-30.3250572,149.7829808,1
Narrandera,garbage bin,NSW,-34.7479014,146.5503637,5
Newcastle,garbage bin,NSW,-32.926689,151.7789205,1
Nhill,rubbish bin,VIC,-36.332472,141.6494937,1
Nimmitabel,garbage bin,NSW,-36.5123017,149.2843954,4
Norwell,rubbish bin,QLD,-27.7867664,153.3150421,1
Nullawil,rubbish bin,VIC,-35.8527061,143.1768691,1
Nuriootpa,garbage bin,SA,-34.4722763,138.9963035,2
Nuriootpa,rubbish bin,SA,-34.4722763,138.9963035,1
Omeo,rubbish bin,VIC,-37.0994668,147.5933185,1
Orbost,garbage bin,VIC,-37.7071796,148.4549611,1
Ouyen,garbage bin,VIC,-35.0706191,142.3149438,3
Ouyen,rubbish bin,VIC,-35.0706191,142.3149438,2
Parkes,garbage bin,NSW,-33.1378642,148.1748388,2
Parrakie,rubbish bin,SA,-35.3777343,140.2535608,1
Penola,garbage bin,SA,-37.3789874,140.8407186,3
Penola,rubbish bin,SA,-37.3789874,140.8407186,6
Perth,rubbish bin,WA,-31.9530044,115.8574693,3
Pinnaroo,rubbish bin,SA,-35.2604045,140.9084344,5
Port Elliott,rubbish bin,SA,-35.5303762,138.6810342,1
Port Lincoln,garbage bin,SA,-34.7195321,135.8574623,1
Port Lincoln,rubbish bin,SA,-34.7195321,135.8574623,1
Portland,rubbish bin,VIC,-38.3463453,141.6042096,6
Quandialla,garbage bin,NSW,-34.0095525,147.7924726,2
Queanbeyan,garbage bin,NSW,-35.3549,149.2312095,1
Quirindi,garbage bin,NSW,-31.5077986,150.680106,1
Rainbow,garbage bin,VIC,-35.900201,141.9971939,1
Rankins Springs,garbage bin,NSW,-33.8415907,146.2618337,2
Red Cliffs,rubbish bin,VIC,-34.3064842,142.1865208,1
